id,code,type,discount,from,to,uses,maxUses,active,city,vehicleType,createdBy
PRO0199,GO10NOW,Percentage,10,2024-01-09,2024-01-28,436,200,True,All,Scooty,Arjun Sharma
PRO0200,GO300NOW,Flat,300,2024-03-10,2024-03-29,224,500,False,Dehradun,All,Priya Admin
PRO0201,GO30DEAL,Percentage,30,2024-02-11,2024-02-29,206,200,True,Dehradun,Bike,Priya Admin
PRO0202,TREK150NOW,Flat,150,2024-01-12,2024-02-01,439,500,False,Rishikesh,All,Arjun Sharma
PRO0203,RIDE15,Percentage,15,2024-01-10,2024-02-03,64,500,True,All,All,Priya Admin
PRO0204,SAVE150NOW,Flat,150,2024-01-14,2024-02-06,429,1000,False,Auli,All,Priya Admin
PRO0205,RIDE30,Percentage,30,2024-02-14,2024-03-06,212,1000,True,All,Car,Priya Admin
PRO0206,SUMMER10OFF,Percentage,10,2024-02-19,2024-03-02,134,1000,False,Rishikesh,Bike,Priya Admin
PRO0207,RIDE250DEAL,Flat,250,2024-02-27,2024-03-26,58,1000,True,Dehradun,Bike,Arjun Sharma
PRO0208,RIDE300,Flat,300,2024-01-16,2024-01-21,256,100,True,Dehradun,Car,Arjun Sharma
PRO0209,HILL30DEAL,Percentage,30,2024-03-09,2024-03-20,417,500,True,Haridwar,Bike,Priya Admin
PRO0210,RIDE10,Percentage,10,2024-03-12,2024-03-20,34,200,True,Haridwar,All,Arjun Sharma
PRO0211,TREK200DEAL,Flat,200,2024-03-15,2024-04-12,319,500,True,Mussoorie,All,Priya Admin
PRO0212,HILL250OFF,Flat,250,2024-03-07,2024-04-05,70,500,False,Rishikesh,Car,Priya Admin
PRO0213,SUMMER200OFF,Flat,200,2024-01-19,2024-02-06,238,100,True,Rishikesh,Car,Priya Admin
PRO0214,BIKE150,Flat,150,2024-03-13,2024-04-02,308,100,True,All,All,Priya Admin
PRO0215,SPEED250OFF,Flat,250,2024-01-26,2024-01-30,472,1000,True,Nainital,Car,Priya Admin
PRO0216,SAVE15NOW,Percentage,15,2024-02-04,2024-03-02,464,200,True,Nainital,Car,Arjun Sharma
PRO0217,SAVE25,Percentage,25,2024-01-23,2024-02-09,125,500,False,Mussoorie,All,Arjun Sharma
PRO0218,SUMMER10DEAL,Percentage,10,2024-01-05,2024-01-13,335,100,False,Haridwar,Car,Arjun Sharma
PRO0219,WEEKEND20DEAL,Percentage,20,2024-03-06,2024-03-17,148,100,False,Haridwar,Bike,Arjun Sharma
PRO0220,GO50NOW,Flat,50,2024-01-01,2024-01-28,255,1000,True,Haridwar,All,Arjun Sharma
PRO0221,HILL10OFF,Percentage,10,2024-02-25,2024-02-28,146,1000,True,Rishikesh,Bike,Priya Admin
PRO0222,SPEED150DEAL,Flat,150,2024-03-09,2024-03-21,325,200,True,Dehradun,Bike,Arjun Sharma
PRO0223,FLAT10DEAL,Percentage,10,2024-03-10,2024-04-03,124,1000,False,All,Scooty,Arjun Sharma
PRO0224,FLAT30,Percentage,30,2024-02-15,2024-03-06,89,100,True,All,Car,Priya Admin
PRO0225,SAVE250OFF,Flat,250,2024-01-20,2024-01-27,47,200,False,All,Bike,Priya Admin
PRO0226,GO250OFF,Flat,250,2024-03-05,2024-03-27,376,500,True,Dehradun,Scooty,Arjun Sharma
PRO0227,FLAT50NOW,Flat,50,2024-01-17,2024-02-13,10,1000,True,Dehradun,Scooty,Arjun Sharma
PRO0228,FLAT150DEAL,Flat,150,2024-04-01,2024-04-30,376,1000,True,Mussoorie,Scooty,Arjun Sharma
PRO0229,TREK10NOW,Percentage,10,2024-01-15,2024-01-29,409,500,False,Dehradun,All,Arjun Sharma
PRO0230,SAVE100DEAL,Flat,100,2024-02-19,2024-03-18,307,1000,False,Mussoorie,Car,Priya Admin
PRO0231,TREK150,Flat,150,2024-03-06,2024-03-15,413,100,False,Dehradun,Car,Priya Admin
PRO0232,CAR100OFF,Flat,100,2024-02-18,2024-02-27,355,1000,True,All,Scooty,Arjun Sharma
PRO0233,SUMMER20,Percentage,20,2024-02-09,2024-02-17,88,200,True,Rishikesh,Bike,Arjun Sharma
PRO0234,TREK100DEAL,Flat,100,2024-02-25,2024-03-12,291,1000,True,Haridwar,Car,Arjun Sharma
PRO0235,CAR25DEAL,Percentage,25,2024-02-21,2024-03-16,112,200,True,Dehradun,Car,Arjun Sharma
PRO0236,SUMMER5,Percentage,5,2024-01-10,2024-02-09,241,100,False,All,All,Arjun Sharma
PRO0237,RIDE10OFF,Percentage,10,2024-01-08,2024-01-22,383,200,True,Mussoorie,Car,Priya Admin
PRO0238,WEEKEND25DEAL,Percentage,25,2024-03-14,2024-04-02,217,1000,True,Rishikesh,All,Arjun Sharma
PRO0239,SAVE200NOW,Flat,200,2024-03-09,2024-03-17,422,500,False,Haridwar,All,Arjun Sharma
PRO0240,SPEED100NOW,Flat,100,2024-03-13,2024-03-17,165,100,False,Mussoorie,Car,Priya Admin
PRO0241,HILL500OFF,Flat,500,2024-01-05,2024-01-13,62,1000,True,Chakrata,Car,Arjun Sharma
PRO0242,FLAT30,Percentage,30,2024-02-09,2024-03-10,201,200,True,Mussoorie,All,Priya Admin
PRO0243,SPEED15,Percentage,15,2024-01-12,2024-02-05,416,500,False,Haridwar,Car,Priya Admin
PRO0244,SPEED200NOW,Flat,200,2024-03-09,2024-03-25,203,500,True,All,All,Priya Admin
PRO0245,WEEKEND30,Percentage,30,2024-03-05,2024-03-17,2,100,False,Dehradun,Scooty,Priya Admin
PRO0246,HILL20,Percentage,20,2024-03-06,2024-03-17,8,1000,True,Lansdowne,Bike,Arjun Sharma
PRO0247,GO15OFF,Percentage,15,2024-03-25,2024-04-18,114,1000,True,Auli,Bike,Arjun Sharma
PRO0248,FLAT30,Percentage,30,2024-01-31,2024-02-11,59,500,True,Mussoorie,Scooty,Priya Admin
PRO0249,SPEED250,Flat,250,2024-02-23,2024-03-23,21,100,True,All,All,Arjun Sharma
PRO0250,SAVE100NOW,Flat,100,2024-03-23,2024-04-18,311,200,True,Haridwar,Bike,Priya Admin
PRO0251,SPEED15,Percentage,15,2024-01-08,2024-01-15,328,1000,False,All,All,Priya Admin
PRO0252,GO300,Flat,300,2024-02-14,2024-03-09,332,100,True,Rishikesh,Car,Priya Admin
PRO0253,SUMMER50,Flat,50,2024-03-29,2024-04-07,475,200,False,Mussoorie,Bike,Priya Admin
PRO0254,SAVE30DEAL,Percentage,30,2024-03-09,2024-03-20,198,500,False,Rishikesh,All,Arjun Sharma
PRO0255,TREK10DEAL,Percentage,10,2024-03-05,2024-03-19,436,100,True,Rishikesh,Bike,Arjun Sharma
PRO0256,HILL300,Flat,300,2024-02-05,2024-02-18,33,1000,False,All,Scooty,Arjun Sharma
PRO0257,SUMMER20,Percentage,20,2024-03-25,2024-03-29,216,500,True,Dehradun,Car,Priya Admin
PRO0258,RIDE10,Percentage,10,2024-03-01,2024-03-22,321,100,True,All,Bike,Priya Admin
PRO0259,TREK150,Flat,150,2024-02-23,2024-03-24,310,500,False,Rishikesh,All,Priya Admin
PRO0260,SPEED25,Percentage,25,2024-02-25,2024-03-18,312,500,True,All,All,Arjun Sharma
PRO0261,SUMMER25,Percentage,25,2024-03-14,2024-03-21,246,500,True,Rishikesh,Car,Arjun Sharma
PRO0262,RIDE25OFF,Percentage,25,2024-03-04,2024-03-17,353,1000,True,All,Bike,Priya Admin
PRO0263,SUMMER25NOW,Percentage,25,2024-03-28,2024-04-12,163,1000,True,Dehradun,Car,Priya Admin
PRO0264,MOUNTAIN150OFF,Flat,150,2024-03-26,2024-04-19,14,1000,False,Auli,Bike,Priya Admin
PRO0265,WEEKEND250OFF,Flat,250,2024-01-31,2024-02-04,409,500,True,Haridwar,Scooty,Priya Admin
PRO0266,TREK300DEAL,Flat,300,2024-02-01,2024-02-12,315,100,False,All,Car,Arjun Sharma
PRO0267,SUMMER250,Flat,250,2024-03-10,2024-03-20,426,200,True,All,Scooty,Priya Admin
PRO0268,BIKE15OFF,Percentage,15,2024-01-07,2024-01-25,70,500,True,Mussoorie,Scooty,Priya Admin
PRO0269,SUMMER20,Percentage,20,2024-02-27,2024-03-22,3,200,True,Dehradun,Scooty,Arjun Sharma
PRO0270,FLAT50NOW,Flat,50,2024-03-04,2024-03-16,387,500,True,Haridwar,All,Priya Admin
PRO0271,WEEKEND5,Percentage,5,2024-01-08,2024-01-11,116,200,True,All,Bike,Arjun Sharma
PRO0272,WEEKEND500DEAL,Flat,500,2024-03-11,2024-04-01,468,100,True,Nainital,Bike,Arjun Sharma
PRO0273,GO15,Percentage,15,2024-03-25,2024-04-17,297,200,True,Mussoorie,Bike,Priya Admin
PRO0274,TREK100NOW,Flat,100,2024-03-23,2024-04-09,486,500,True,Dehradun,Car,Priya Admin
PRO0275,GO15OFF,Percentage,15,2024-03-29,2024-04-21,105,1000,False,Haridwar,Scooty,Priya Admin
PRO0276,SUMMER50DEAL,Flat,50,2024-03-21,2024-04-11,263,1000,False,Haridwar,Bike,Arjun Sharma
PRO0277,TREK10NOW,Percentage,10,2024-03-07,2024-03-14,177,1000,True,Mussoorie,Scooty,Arjun Sharma
PRO0278,CAR20,Percentage,20,2024-02-21,2024-03-08,297,100,True,All,Bike,Priya Admin
PRO0279,GO300NOW,Flat,300,2024-01-04,2024-01-28,356,1000,True,All,Car,Priya Admin
PRO0280,HILL500DEAL,Flat,500,2024-03-17,2024-04-03,307,1000,True,Mussoorie,All,Arjun Sharma
PRO0281,SPEED150,Flat,150,2024-01-05,2024-01-31,68,200,False,Dehradun,Scooty,Arjun Sharma
PRO0282,HILL25DEAL,Percentage,25,2024-01-31,2024-02-11,353,100,False,Nainital,Scooty,Priya Admin
PRO0283,WEEKEND500NOW,Flat,500,2024-02-13,2024-03-01,125,500,False,Rishikesh,Scooty,Arjun Sharma
PRO0284,RIDE100OFF,Flat,100,2024-01-11,2024-01-28,34,200,True,Haridwar,Scooty,Arjun Sharma
PRO0285,CAR10OFF,Percentage,10,2024-04-01,2024-04-28,301,500,True,Nainital,Scooty,Priya Admin
PRO0286,GO5OFF,Percentage,5,2024-03-06,2024-03-25,255,100,True,Nainital,All,Arjun Sharma
PRO0287,CAR100,Flat,100,2024-01-25,2024-02-18,177,500,True,Rishikesh,All,Priya Admin
PRO0288,CAR500,Flat,500,2024-02-28,2024-03-02,497,500,True,Rishikesh,All,Arjun Sharma
PRO0289,BIKE500,Flat,500,2024-01-21,2024-02-02,323,500,False,Rishikesh,Car,Arjun Sharma
PRO0290,SAVE150,Flat,150,2024-01-07,2024-01-29,213,200,True,Auli,Scooty,Priya Admin
PRO0291,BIKE15NOW,Percentage,15,2024-01-02,2024-01-21,83,500,False,Dehradun,Bike,Arjun Sharma
PRO0292,HILL15,Percentage,15,2024-02-20,2024-03-07,32,500,True,Mussoorie,Scooty,Arjun Sharma
PRO0293,BIKE15,Percentage,15,2024-02-12,2024-03-08,410,500,True,All,Scooty,Arjun Sharma
PRO0294,RIDE10,Percentage,10,2024-01-23,2024-01-28,284,500,True,Dehradun,All,Arjun Sharma
PRO0295,CAR200,Flat,200,2024-01-14,2024-02-13,242,200,True,All,Scooty,Priya Admin
PRO0296,FLAT15DEAL,Percentage,15,2024-02-22,2024-03-22,153,500,True,All,Bike,Arjun Sharma
PRO0297,SPEED150DEAL,Flat,150,2024-03-16,2024-03-21,381,500,True,Haridwar,Scooty,Arjun Sharma
PRO0298,RIDE30OFF,Percentage,30,2024-01-26,2024-02-10,262,1000,False,Mussoorie,Car,Arjun Sharma
PRO0299,RIDE20DEAL,Percentage,20,2024-02-07,2024-02-18,91,500,False,Dehradun,All,Priya Admin
PRO0300,HILL100,Flat,100,2024-02-20,2024-03-02,413,1000,False,Haridwar,Scooty,Priya Admin
PRO0301,SAVE10DEAL,Percentage,10,2024-02-03,2024-02-08,76,500,False,Rishikesh,Scooty,Priya Admin
PRO0302,FLAT30,Percentage,30,2024-02-10,2024-02-19,292,100,False,Dehradun,Car,Arjun Sharma
PRO0303,BIKE50OFF,Flat,50,2024-02-18,2024-02-27,307,500,True,Rishikesh,All,Arjun Sharma
PRO0304,WEEKEND20DEAL,Percentage,20,2024-01-11,2024-01-15,316,500,True,Dehradun,Car,Arjun Sharma
PRO0305,WEEKEND500,Flat,500,2024-03-01,2024-03-26,287,100,True,Dehradun,All,Priya Admin
PRO0306,RIDE25OFF,Percentage,25,2024-01-13,2024-01-28,290,200,False,Chakrata,Scooty,Arjun Sharma
PRO0307,GO250NOW,Flat,250,2024-01-29,2024-02-05,184,1000,False,Dehradun,Bike,Priya Admin
PRO0308,TREK10OFF,Percentage,10,2024-03-06,2024-04-02,1,100,True,All,All,Arjun Sharma
PRO0309,SPEED15NOW,Percentage,15,2024-02-16,2024-02-22,292,100,True,Rishikesh,Scooty,Arjun Sharma
PRO0310,HILL250OFF,Flat,250,2024-01-11,2024-01-17,313,200,True,All,Car,Arjun Sharma
PRO0311,RIDE30,Percentage,30,2024-01-27,2024-02-10,463,500,True,Rishikesh,Scooty,Arjun Sharma
PRO0312,CAR150,Flat,150,2024-03-30,2024-04-28,394,500,False,All,All,Priya Admin
PRO0313,HILL15,Percentage,15,2024-02-27,2024-03-22,387,1000,True,Mussoorie,Bike,Arjun Sharma
PRO0314,GO15OFF,Percentage,15,2024-02-06,2024-02-21,416,100,True,Rishikesh,Scooty,Arjun Sharma
PRO0315,CAR25DEAL,Percentage,25,2024-02-25,2024-03-26,329,1000,False,Dehradun,Bike,Arjun Sharma
PRO0316,SPEED10OFF,Percentage,10,2024-02-02,2024-02-10,231,500,False,Rishikesh,All,Arjun Sharma
PRO0317,FLAT150OFF,Flat,150,2024-01-14,2024-01-26,478,500,False,All,Car,Priya Admin
PRO0318,SAVE250NOW,Flat,250,2024-01-01,2024-01-12,144,100,True,Rishikesh,Car,Priya Admin
PRO0319,BIKE5DEAL,Percentage,5,2024-02-14,2024-03-02,341,100,True,Rishikesh,Car,Arjun Sharma
PRO0320,MOUNTAIN25DEAL,Percentage,25,2024-02-01,2024-02-24,153,500,False,Nainital,Car,Priya Admin
PRO0321,FLAT25,Percentage,25,2024-03-16,2024-03-30,385,500,False,Mussoorie,Scooty,Priya Admin
PRO0322,GO200,Flat,200,2024-01-18,2024-02-12,380,500,False,Dehradun,Scooty,Priya Admin
PRO0323,SUMMER15NOW,Percentage,15,2024-04-01,2024-04-04,480,200,True,Rishikesh,Scooty,Priya Admin
PRO0324,SAVE15,Percentage,15,2024-03-19,2024-04-18,474,1000,True,Mussoorie,Bike,Priya Admin
PRO0325,CAR15OFF,Percentage,15,2024-01-23,2024-02-11,2,500,False,Mussoorie,All,Arjun Sharma
PRO0326,GO5,Percentage,5,2024-03-01,2024-03-24,304,500,True,Dehradun,All,Arjun Sharma
PRO0327,WEEKEND100,Flat,100,2024-03-21,2024-03-27,140,200,True,Rishikesh,Car,Priya Admin
PRO0328,MOUNTAIN10NOW,Percentage,10,2024-01-07,2024-02-02,443,500,True,All,All,Arjun Sharma
PRO0329,CAR50OFF,Flat,50,2024-01-03,2024-01-06,86,1000,True,All,Bike,Priya Admin
PRO0330,GO250,Flat,250,2024-03-14,2024-04-12,126,500,False,Haridwar,Car,Arjun Sharma
PRO0331,MOUNTAIN20OFF,Percentage,20,2024-01-05,2024-01-15,153,100,True,All,Scooty,Priya Admin
PRO0332,GO5,Percentage,5,2024-01-30,2024-02-17,251,100,False,Dehradun,Scooty,Priya Admin
PRO0333,GO15,Percentage,15,2024-02-18,2024-02-21,456,500,False,Rishikesh,Bike,Arjun Sharma
PRO0334,MOUNTAIN50OFF,Flat,50,2024-02-15,2024-02-20,330,500,True,Rishikesh,All,Arjun Sharma
PRO0335,SAVE300,Flat,300,2024-02-07,2024-02-28,52,1000,True,All,All,Arjun Sharma
PRO0336,HILL150OFF,Flat,150,2024-03-05,2024-03-31,241,200,False,Haridwar,All,Arjun Sharma
PRO0337,SPEED15,Percentage,15,2024-03-18,2024-04-08,142,500,False,Rishikesh,Bike,Arjun Sharma
PRO0338,CAR250NOW,Flat,250,2024-03-25,2024-04-10,38,500,True,All,Bike,Priya Admin
PRO0339,BIKE500DEAL,Flat,500,2024-03-03,2024-03-08,224,1000,True,Mussoorie,All,Arjun Sharma
PRO0340,RIDE10NOW,Percentage,10,2024-02-16,2024-02-25,417,200,False,Haridwar,All,Priya Admin
PRO0341,FLAT10,Percentage,10,2024-02-04,2024-02-07,190,500,True,Nainital,Scooty,Priya Admin
PRO0342,SAVE5OFF,Percentage,5,2024-03-25,2024-04-17,277,1000,True,Dehradun,Car,Priya Admin
PRO0343,TREK5,Percentage,5,2024-01-15,2024-02-14,389,500,True,Rishikesh,Car,Arjun Sharma
PRO0344,FLAT30,Percentage,30,2024-03-31,2024-04-15,171,100,True,Dehradun,Scooty,Priya Admin
PRO0345,RIDE250,Flat,250,2024-01-16,2024-01-27,111,1000,False,Dehradun,All,Arjun Sharma
PRO0346,SPEED5OFF,Percentage,5,2024-01-14,2024-01-17,284,200,True,All,Bike,Arjun Sharma
PRO0347,TREK150DEAL,Flat,150,2024-02-03,2024-02-24,41,500,True,Haridwar,All,Priya Admin
PRO0348,HILL500,Flat,500,2024-02-11,2024-02-16,57,500,True,Dehradun,All,Arjun Sharma
PRO0349,SAVE150,Flat,150,2024-03-18,2024-04-12,489,500,True,All,Car,Priya Admin
PRO0350,SUMMER25,Percentage,25,2024-01-06,2024-01-28,489,100,True,Rishikesh,All,Arjun Sharma
PRO0351,HILL10,Percentage,10,2024-01-11,2024-01-26,491,200,True,Rishikesh,All,Arjun Sharma
PRO0352,FLAT20,Percentage,20,2024-02-14,2024-02-17,419,500,True,Haridwar,Scooty,Priya Admin
PRO0353,SPEED25NOW,Percentage,25,2024-01-15,2024-01-19,56,100,True,Rishikesh,Scooty,Priya Admin
PRO0354,MOUNTAIN5,Percentage,5,2024-02-11,2024-03-04,276,1000,True,Nainital,Car,Priya Admin
PRO0355,GO300OFF,Flat,300,2024-02-15,2024-03-11,304,200,True,Rishikesh,Scooty,Priya Admin
PRO0356,SAVE150NOW,Flat,150,2024-03-13,2024-03-23,489,500,True,Dehradun,Scooty,Arjun Sharma
PRO0357,CAR20,Percentage,20,2024-03-21,2024-04-18,447,1000,False,Haridwar,Bike,Arjun Sharma
PRO0358,WEEKEND5OFF,Percentage,5,2024-03-17,2024-04-03,11,1000,True,Mussoorie,Scooty,Priya Admin
PRO0359,FLAT10DEAL,Percentage,10,2024-04-01,2024-04-09,469,500,True,Dehradun,All,Arjun Sharma
PRO0360,FLAT200,Flat,200,2024-02-23,2024-02-29,279,100,True,Mussoorie,Car,Priya Admin
PRO0361,SPEED15,Percentage,15,2024-02-19,2024-03-07,31,500,False,All,Car,Priya Admin
PRO0362,MOUNTAIN150DEAL,Flat,150,2024-03-04,2024-03-09,131,500,False,Mussoorie,Scooty,Priya Admin
PRO0363,SAVE25,Percentage,25,2024-02-20,2024-02-25,437,500,True,All,Car,Arjun Sharma
PRO0364,SAVE15DEAL,Percentage,15,2024-02-08,2024-03-02,438,500,True,Haridwar,Car,Arjun Sharma
PRO0365,GO20,Percentage,20,2024-02-14,2024-02-24,233,200,False,All,All,Priya Admin
PRO0366,FLAT200OFF,Flat,200,2024-02-21,2024-03-10,433,500,True,Dehradun,Bike,Arjun Sharma
PRO0367,HILL200,Flat,200,2024-03-16,2024-04-06,207,500,False,Dehradun,Bike,Priya Admin
PRO0368,HILL500NOW,Flat,500,2024-01-08,2024-02-05,281,200,True,Rishikesh,Scooty,Arjun Sharma
PRO0369,HILL25,Percentage,25,2024-01-18,2024-01-25,391,1000,True,Dehradun,Bike,Priya Admin
PRO0370,HILL20NOW,Percentage,20,2024-01-01,2024-01-06,88,1000,True,Mussoorie,Bike,Arjun Sharma
PRO0371,CAR50DEAL,Flat,50,2024-01-25,2024-02-07,480,200,False,All,All,Arjun Sharma
PRO0372,MOUNTAIN10,Percentage,10,2024-01-26,2024-02-18,26,200,True,All,Bike,Arjun Sharma
PRO0373,TREK500DEAL,Flat,500,2024-02-21,2024-03-10,8,1000,True,All,Car,Arjun Sharma
PRO0374,SPEED5DEAL,Percentage,5,2024-01-10,2024-01-23,356,500,True,All,Bike,Priya Admin
PRO0375,GO100DEAL,Flat,100,2024-03-28,2024-04-03,277,200,True,Rishikesh,Bike,Arjun Sharma
PRO0376,BIKE100NOW,Flat,100,2024-03-31,2024-04-30,129,500,False,Mussoorie,All,Priya Admin
PRO0377,RIDE100,Flat,100,2024-03-24,2024-04-15,106,200,True,Rishikesh,All,Priya Admin
PRO0378,SUMMER5DEAL,Percentage,5,2024-03-06,2024-03-13,172,1000,True,Lansdowne,All,Arjun Sharma
PRO0379,GO50,Flat,50,2024-01-23,2024-01-29,97,200,True,All,All,Priya Admin
PRO0380,TREK25DEAL,Percentage,25,2024-02-08,2024-02-19,322,500,False,All,Scooty,Priya Admin
PRO0381,HILL15,Percentage,15,2024-01-26,2024-02-11,52,1000,True,Dehradun,Bike,Priya Admin
PRO0382,SAVE300,Flat,300,2024-03-02,2024-03-27,323,1000,True,Rishikesh,Bike,Arjun Sharma
PRO0383,SAVE5OFF,Percentage,5,2024-01-17,2024-01-25,66,200,False,Rishikesh,Scooty,Priya Admin
PRO0384,TREK100OFF,Flat,100,2024-01-28,2024-02-21,376,500,False,Lansdowne,Scooty,Arjun Sharma
PRO0385,MOUNTAIN5,Percentage,5,2024-01-09,2024-01-22,82,1000,False,Dehradun,Bike,Arjun Sharma
PRO0386,CAR500DEAL,Flat,500,2024-03-01,2024-03-17,64,100,True,Nainital,All,Arjun Sharma
PRO0387,RIDE500,Flat,500,2024-03-29,2024-04-28,20,100,True,All,All,Priya Admin
PRO0388,FLAT50OFF,Flat,50,2024-01-07,2024-02-05,331,100,True,Rishikesh,Scooty,Priya Admin
PRO0389,WEEKEND300OFF,Flat,300,2024-02-14,2024-02-19,280,500,True,Mussoorie,Bike,Arjun Sharma
PRO0390,GO500OFF,Flat,500,2024-03-31,2024-04-27,422,500,False,Nainital,All,Arjun Sharma
PRO0391,SAVE500DEAL,Flat,500,2024-01-28,2024-02-05,270,500,True,All,Scooty,Priya Admin
PRO0392,SPEED150DEAL,Flat,150,2024-02-29,2024-03-18,159,200,True,All,Bike,Arjun Sharma
PRO0393,SUMMER200OFF,Flat,200,2024-01-31,2024-02-27,447,500,True,Dehradun,Scooty,Priya Admin
PRO0394,TREK5,Percentage,5,2024-02-21,2024-02-25,135,1000,True,All,Bike,Arjun Sharma
PRO0395,SAVE10DEAL,Percentage,10,2024-03-23,2024-04-17,324,500,False,Rishikesh,Car,Priya Admin
PRO0396,BIKE500DEAL,Flat,500,2024-03-26,2024-04-10,154,500,True,Rishikesh,All,Priya Admin
PRO0397,BIKE100,Flat,100,2024-03-20,2024-04-15,131,200,True,Dehradun,All,Arjun Sharma
PRO0398,RIDE25,Percentage,25,2024-01-11,2024-01-22,66,1000,True,Rishikesh,Scooty,Arjun Sharma
PRO0399,FLAT10DEAL,Percentage,10,2024-03-17,2024-03-31,187,200,False,Nainital,All,Arjun Sharma
